investor_org_ref,investor_fund_ref,portfolio_org_ref,round_date,source_filing
org_qualcommventures,,org_wayve,2026-04-15,https://www.cnbc.com/2026/04/15/wayve-fund-raise-amd-qualcomm-arm.html
org_cic,,org_riverlane,2019-06-13,https://www.riverlane.com/press-release/riverlane-secures-3-25m-funding
org_amadeus,,org_riverlane,2019-06-13,https://www.riverlane.com/press-release/riverlane-secures-3-25m-funding
org_cambridgeenterprise,,org_riverlane,2019-06-13,https://www.riverlane.com/press-release/riverlane-secures-3-25m-funding
org_moltenventures,,org_riverlane,2021-01-25,https://www.riverlane.com/press-release/riverlane-secures-20-million-in-series-a-funding
org_ukcambridge,,org_riverlane,2021-01-25,https://www.riverlane.com/press-release/riverlane-secures-20-million-in-series-a-funding
org_nssif,,org_riverlane,2023-04-24,https://www.riverlane.com/press-release/riverlane-raises-15m-series-b-to-advance-useful-quantum-computing
org_planetfirst,,org_riverlane,2024-08-06,https://sifted.eu/articles/riverlane-raise-series-c-news
org_etfpartners,,org_riverlane,2024-08-06,https://sifted.eu/articles/riverlane-raise-series-c-news
org_edbi,,org_riverlane,2024-08-06,https://sifted.eu/articles/riverlane-raise-series-c-news
org_altair,,org_riverlane,2023-04-24,https://www.riverlane.com/press-release/riverlane-raises-15m-series-b-to-advance-useful-quantum-computing
org_amadeus,,org_congenica,2015-04-14,https://blog.congenica.com/2015/04/14/congenica-genome-diagnostics-company-raises-2-2m-from-amadeus-capital-partners-cambridge-innovation-capital
org_cic,,org_congenica,2015-04-14,https://blog.congenica.com/2015/04/14/congenica-genome-diagnostics-company-raises-2-2m-from-amadeus-capital-partners-cambridge-innovation-capital
org_parkwalk,,org_congenica,2017-02-27,https://blog.congenica.com/2017/02/27/congenica-raises-series-b-funding
org_bgigenomics,,org_congenica,2017-04-27,https://blog.congenica.com/2017/04/27/congenica-completes-series-b-financing-round-investments-china-based-bgi-healthlink-future-planet
org_dchealth,,org_congenica,2019-04-30,https://blog.congenica.com/2019/04/30/congenica-raises-additional-13m-for-series-b-funding-round
org_tencent,,org_congenica,2020-11-09,https://blog.congenica.com/congenica-completes-50m-series-c-funding-round-to-advance-clinical-genomic-analysis-software-and-data-platform
org_landg,,org_congenica,2020-11-09,https://blog.congenica.com/congenica-completes-50m-series-c-funding-round-to-advance-clinical-genomic-analysis-software-and-data-platform
org_xeraya,,org_congenica,2020-11-09,https://blog.congenica.com/congenica-completes-50m-series-c-funding-round-to-advance-clinical-genomic-analysis-software-and-data-platform
org_puhua,,org_congenica,2020-11-09,https://blog.congenica.com/congenica-completes-50m-series-c-funding-round-to-advance-clinical-genomic-analysis-software-and-data-platform
org_idoinvestments,,org_congenica,2020-11-09,https://blog.congenica.com/congenica-completes-50m-series-c-funding-round-to-advance-clinical-genomic-analysis-software-and-data-platform
org_downing,,org_congenica,2020-11-09,https://blog.congenica.com/congenica-completes-50m-series-c-funding-round-to-advance-clinical-genomic-analysis-software-and-data-platform
org_moltenventures,,org_ieso,2017-09-12,https://www.prnewswire.co.uk/news-releases/ieso-digital-health-raises-18-million-funding-from-draper-esprit-and-touchstone-innovations-completing-643877533.html
org_ipgroup,,org_ieso,2017-09-12,https://www.prnewswire.co.uk/news-releases/ieso-digital-health-raises-18-million-funding-from-draper-esprit-and-touchstone-innovations-completing-643877533.html
,fund_ananda_svf,org_ieso,2017-01-01,https://www.bakerbotts.com/experience/a/ananda-ventures--coinvestment-in-the-18
org_morningside,,org_ieso,2021-11-23,https://www.businesswire.com/news/home/20211123005738/en/ieso-Raises-%2453m-to-Address-Global-Mental-Health-Crisis-With-Digital-Therapeutics
org_sonyinnovationfund,,org_ieso,2021-11-23,https://www.businesswire.com/news/home/20211123005738/en/ieso-Raises-%2453m-to-Address-Global-Mental-Health-Crisis-With-Digital-Therapeutics
org_mindler,,org_ieso_uk_sub,2025-08-12,https://www.businesswire.com/news/home/20250820050198/en/ieso-Sharpens-Focus-on-AI-Powered-Mental-Healthcare-with-Sale-of-UK-Telecare-Services-Business
org_frontieripgroup,,org_exscientia_ltd,,https://www.frontierip.co.uk/portfolio/exscientia-limited/
org_evotec,,org_exscientia_ltd,,https://globalventuring.com/blog/2017/10/02/evotec-executes-exscientia-deal/
org_celgene,,org_exscientia_ltd,2019-01-07,https://www.prnewswire.com/news-releases/exscientia-raises-us-26-million-in-series-b-financing-round-to-accelerate-scaling-as-the-leading-ai-drug-discovery-company-885022729.html
org_gthealthcare,,org_exscientia_ltd,2019-01-07,https://www.prnewswire.com/news-releases/exscientia-raises-us-26-million-in-series-b-financing-round-to-accelerate-scaling-as-the-leading-ai-drug-discovery-company-885022729.html
org_novoholdings,,org_exscientia_ltd,2020-05-26,https://www.goodwinlaw.com/en/news-and-events/news/2020/05/05_26-novo-leads-on-exscientia-60m-series-c
org_bms,,org_exscientia_ltd,2020-05-26,https://www.goodwinlaw.com/en/news-and-events/news/2020/05/05_26-novo-leads-on-exscientia-60m-series-c
org_blackrock,,org_exscientia_ltd,2021-03-03,https://www.businesswire.com/news/home/20210303005869/en/Exscientia-Completes-%24100-million-Series-C-Financing-Round-With-BlackRock-Funds
,fund_softbank_vf2,org_exscientia_ltd,2021-04-28,https://www.fiercebiotech.com/biotech/softbank-leads-225m-round-for-exscientia-offer-300m-more
org_mubadala,,org_exscientia_ltd,2021-04-28,https://www.fiercebiotech.com/biotech/softbank-leads-225m-round-for-exscientia-offer-300m-more
org_recursion,,org_exscientia_ltd,2024-11-20,https://find-and-update.company-information.service.gov.uk/company/13483814/persons-with-significant-control
org_ipgroup,,org_featurespace,2014-06-01,https://www.lse.co.uk/news/imperial-innovations-completes-3m-investment-in-featurespace-9zvs6e4ghvddzg7.html
org_nesta,,org_featurespace,2014-06-01,https://www.lse.co.uk/news/imperial-innovations-completes-3m-investment-in-featurespace-9zvs6e4ghvddzg7.html
org_cambridgeangels,,org_featurespace,2014-06-01,https://www.lse.co.uk/news/imperial-innovations-completes-3m-investment-in-featurespace-9zvs6e4ghvddzg7.html
org_ttvcapital,,org_featurespace,2016-05-31,https://www.uktech.news/news/investment-news/cambridge-fraud-detection-firm-featurespace-lands-9m-20160531
org_highlandeurope,,org_featurespace,2017-10-05,https://www.pehub.com/highland-europe-leads-funding-round-for-featurespace/
org_worldpay,,org_featurespace,2017-10-05,https://www.prnewswire.com/news-releases/worldpay-invests-in-leading-machine-learning-fraud-prevention-company-featurespace-649358493.html
org_invokecapital,,org_featurespace,2017-10-05,https://www.pehub.com/highland-europe-leads-funding-round-for-featurespace/
org_insightpartners,,org_featurespace,2019-01-28,https://www.insightpartners.com/ideas/featurespace-raises-32-3-million-to-drive-international-growth/
org_missionog,,org_featurespace,2019-01-28,https://www.businesswire.com/news/home/20190128005057/en/Featurespace-Raises-32.3-Million-to-Drive-International-Growth
org_merianglobal,,org_featurespace,2020-05-13,https://globalventuring.com/university/featurespace-impresses-for-36-8m-round/
,fund_chrysalis,org_featurespace,2020-05-13,https://globalventuring.com/university/featurespace-impresses-for-36-8m-round/
org_visa,,org_featurespace,2024-12-19,https://investor.visa.com/news/news-details/2024/Visa-Completes-Acquisition-of-Featurespace/default.aspx
org_ipgroup,,org_oxa,2018-09-20,https://www.fleetnews.co.uk/news/fleet-industry-news/2018/09/20/oxbotica-secures-14m-funding-to-support-global-growth
org_parkwalk,,org_oxa,2018-09-20,https://www.fleetnews.co.uk/news/fleet-industry-news/2018/09/20/oxbotica-secures-14m-funding-to-support-global-growth
org_axaxl,,org_oxa,2018-09-20,https://www.fleetnews.co.uk/news/fleet-industry-news/2018/09/20/oxbotica-secures-14m-funding-to-support-global-growth
org_bpventures,,org_oxa,2021-01-05,https://www.therobotreport.com/oxbotica-raises-47m-scale-autonomous-vehicle-software/
org_bgf,,org_oxa,2021-01-05,https://www.therobotreport.com/oxbotica-raises-47m-scale-autonomous-vehicle-software/
org_halma,,org_oxa,2021-01-05,https://www.therobotreport.com/oxbotica-raises-47m-scale-autonomous-vehicle-software/
org_hostplus,,org_oxa,2021-01-05,https://www.therobotreport.com/oxbotica-raises-47m-scale-autonomous-vehicle-software/
org_venturescience,,org_oxa,2021-01-05,https://www.therobotreport.com/oxbotica-raises-47m-scale-autonomous-vehicle-software/
org_aioinissaydowa,,org_oxa,2023-01-11,https://oxa.tech/news-and-insights/oxbotica-raises-us140-million-series-c-investment-to-deploy-its-operating-system-for-universal-autonomy-around-the-world/
org_eneosinnovation,,org_oxa,2023-01-11,https://oxa.tech/news-and-insights/oxbotica-raises-us140-million-series-c-investment-to-deploy-its-operating-system-for-universal-autonomy-around-the-world/
org_zf,,org_oxa,2023-01-11,https://oxa.tech/news-and-insights/oxbotica-raises-us140-million-series-c-investment-to-deploy-its-operating-system-for-universal-autonomy-around-the-world/
org_tencent,,org_oxa,2021-01-05,https://www.therobotreport.com/oxbotica-raises-47m-scale-autonomous-vehicle-software/
org_google,,org_oxa,2023-10-09,https://www.uktech.news/mobility/oxa-google-investment-20231009
org_nwf,,org_oxa,2026-03-04,https://www.nationalwealthfund.org.uk/news-and-publications/news/oxa-raises-103m-in-series-d-first-close-backed-by-national-wealth-fund-and-leading-investors/
org_nventures,,org_oxa,2026-03-04,https://www.nationalwealthfund.org.uk/news-and-publications/news/oxa-raises-103m-in-series-d-first-close-backed-by-national-wealth-fund-and-leading-investors/
org_lakestar,,org_five,2017-09-06,https://www.uktech.news/news/cambridge-driverless-car-startup-fiveai-secures-14m-series-20170906
org_amadeus,,org_five,2017-09-06,https://www.uktech.news/news/cambridge-driverless-car-startup-fiveai-secures-14m-series-20170906
org_notioncapital,,org_five,2017-09-06,https://www.uktech.news/news/cambridge-driverless-car-startup-fiveai-secures-14m-series-20170906
org_kindredcapital,,org_five,2017-09-06,https://www.uktech.news/news/cambridge-driverless-car-startup-fiveai-secures-14m-series-20170906
org_trustbridge,,org_five,2020-03-04,https://www.amadeuscapital.com/five-raises-41m-in-series-b-funding-to-tackle-the-biggest-challenges-in-self-driving/
org_directline,,org_five,2020-03-04,https://www.amadeuscapital.com/five-raises-41m-in-series-b-funding-to-tackle-the-biggest-challenges-in-self-driving/
org_sistemavc,,org_five,2020-03-04,https://www.amadeuscapital.com/five-raises-41m-in-series-b-funding-to-tackle-the-biggest-challenges-in-self-driving/
org_bosch,,org_five,2022-04-12,https://www.uktech.news/mobility/bosch-buys-five-ai-20220412
org_atomico,,org_kheiron,2019-09-23,https://venturebeat.com/technology/kheiron-raises-22-million-for-machine-learning-that-helps-radiologists-detect-cancer-earlier
org_greycroft,,org_kheiron,2019-09-23,https://venturebeat.com/technology/kheiron-raises-22-million-for-machine-learning-that-helps-radiologists-detect-cancer-earlier
org_connectventures,,org_kheiron,2019-09-23,https://venturebeat.com/technology/kheiron-raises-22-million-for-machine-learning-that-helps-radiologists-detect-cancer-earlier
org_hoxtonventures,,org_kheiron,2019-09-23,https://venturebeat.com/technology/kheiron-raises-22-million-for-machine-learning-that-helps-radiologists-detect-cancer-earlier
org_exorseeds,,org_kheiron,2019-09-23,https://venturebeat.com/technology/kheiron-raises-22-million-for-machine-learning-that-helps-radiologists-detect-cancer-earlier
org_radnet,,org_kheiron,2024-10-22,https://deephealth.com/press-releases/deephealth-expands-its-ai-powered-cancer-diagnostic-and-screening-portfolio-with-the-acquisition-of-kheiron/
org_oxfordscienceenterprises,,org_mindfoundry,2016-03-02,https://www.ox.ac.uk/news/2016-03-02-oxford-machine-learning-spinout-unlocks-big-data-insights
org_aioinissaydowa,,org_mindfoundry,2020-11-09,https://www.mindfoundry.ai/resources/series-a
org_parkwalk,,org_mindfoundry,2020-11-09,https://www.mindfoundry.ai/resources/series-a
org_ukoxford,,org_mindfoundry,2020-11-09,https://www.mindfoundry.ai/resources/series-a
org_cylonventures,,org_advai,,https://www.cylonventures.com/portfolio/
org_creativedestructionlab,,org_advai,,https://creativedestructionlab.com/companies/advai/
